ticker,underlying,expiration,dte,strike,type,delta,gamma,theta,vega,iv,open_interest,bid,ask,mid,bid_size,ask_size,last_price,last_size,volume,open,high,low,close,vwap,break_even,underlying_price
O:COIN251114C00160000,COIN,2025-11-14,17,160.0,C,,,,,,18,146.45,151.5,148.975,122,114,156.5,18,36,156.44,158.9,156.44,156.5,157.4972,308.975,319.01
O:COIN251114C00165000,COIN,2025-11-14,17,165.0,C,,,,,,3,141.45,146.65,144.05,124,123,155.94,2,2,155.94,155.94,155.94,155.94,155.94,309.05,319.01
O:COIN251114C00170000,COIN,2025-11-14,17,170.0,C,,,,,,10,136.45,141.3,138.875,153,130,138.55,1,2,141.32,141.32,138.55,138.55,139.935,308.875,319.01
O:COIN251114C00175000,COIN,2025-11-14,17,175.0,C,,,,,,1,131.45,137.2,134.325,120,122,178.4,1,2,177.9,178.4,177.9,178.4,178.15,309.325,319.01
O:COIN251114C00180000,COIN,2025-11-14,17,180.0,C,,,,,,18,126.5,132.35,129.425,125,126,107.74,10,10,107.74,107.74,107.74,107.74,107.74,309.425,319.01
O:COIN251114C00185000,COIN,2025-11-14,17,185.0,C,,,,,,0,121.5,126.55,124.025,113,103,,,,,,,,,309.025,319.01
O:COIN251114C00190000,COIN,2025-11-14,17,190.0,C,,,,,,2,116.5,121.45,118.975,108,98,146.93,2,2,146.93,146.93,146.93,146.93,146.93,308.975,319.01
O:COIN251114C00195000,COIN,2025-11-14,17,195.0,C,,,,,,1,111.5,117,114.25,111,110,105.3,1,1,105.3,105.3,105.3,105.3,105.3,309.25,319.01
O:COIN251114C00200000,COIN,2025-11-14,17,200.0,C,,,,,,0,106.55,113.1,109.82499999999999,119,124,,,,,,,,,309.825,319.01
O:COIN251114C00205000,COIN,2025-11-14,17,205.0,C,,,,,,1,101.55,107.5,104.525,111,116,169,1,1,169,169,169,169,169,309.525,319.01
